gross_pool_usd,period,pool_id,posting_state,residual_pool_usd,scenario,source_basis,statutory_fee_credit_usd,unit
337000.0006,2027-04-30,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-04-30,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-04-30,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-04-30,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-05-31,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-05-31,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-05-31,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-05-31,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-06-30,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-06-30,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-06-30,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-06-30,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-07-31,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-07-31,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-07-31,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-07-31,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-08-31,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-08-31,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-08-31,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-08-31,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-09-30,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-09-30,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-09-30,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-09-30,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-10-31,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-10-31,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-10-31,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-10-31,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-11-30,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-11-30,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-11-30,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-11-30,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
342041.6673,2027-12-31,technology,NONPOSTING_MANAGEMENT_VIEW,741432.1806,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",-399390.5133,corporate
171500.0005,2027-12-31,finance,NONPOSTING_MANAGEMENT_VIEW,371754.7641,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",-200254.7636,corporate
171500.0005,2027-12-31,people,NONPOSTING_MANAGEMENT_VIEW,371754.7641,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",-200254.7636,corporate
100000.0000,2027-12-31,assurance,NONPOSTING_MANAGEMENT_VIEW,216766.6258,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",-116766.6258,corporate
