analytical_allocated_opex_usd,analytical_margin_usd,annual_reserved_capacity_accessorial_usd,annual_revenue_usd,annual_units,as_of_cutoff,available_at,commodity,contract_id,cost_allocation_method,customer_id,effective_period_end,fact_state,minimum_commitment,origin_destination,period_role,price_escalator,record_origin,renewal_date,reporting_unit,segment,term_end,term_start,unit,unit_price_usd
1086355,116395,140000,1202750,650,2026-09-05,2026-09-05,projects,BST-2025-012,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-012,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1635
690742,74008,110750,764750,400,2026-09-05,2026-09-05,projects,BST-2025-013,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-013,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1635
900115,444885,0,1345000,26900,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-001,,ARU-C-001,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
875019,432481,0,1307500,26150,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-002,,ARU-C-002,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
1206288,596212,0,1802500,36050,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-003,,ARU-C-003,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
1204615,595385,0,1800000,30000,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-014,,ARU-C-014,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,60
1187885,587115,0,1775000,35500,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-015,,ARU-C-015,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
1151077,568923,0,1720000,34400,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-016,,ARU-C-016,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
1104231,545769,0,1650000,33000,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-017,,ARU-C-017,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
1070769,529231,0,1600000,32000,2026-09-05,2026-09-05,industrial dry bulk/materials custody,TRM-2025-018,,ARU-C-018,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Reserved annual handling capacity under fixed industrial service contract,Taylor Industrial Complex / Rawlins satellite,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TERMINALS,2027-12-31,2024-01-01,handled_short_ton,50
1148000,287000,0,1435000,2870,2026-09-05,2026-09-05,heavy industrial drayage / custody,TRK-2025-004,,ARU-C-004,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Customer work order schedule; no inferred Red Wash work,Taylor/Rawlins terminal regional industrial delivery,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TRUCKING,2027-12-31,2024-01-01,billable_truck_dispatch,500
1300000,325000,0,1625000,3250,2026-09-05,2026-09-05,heavy industrial drayage / custody,TRK-2025-019,,ARU-C-019,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Customer work order schedule; no inferred Red Wash work,Taylor/Rawlins terminal regional industrial delivery,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TRUCKING,2027-12-31,2024-01-01,billable_truck_dispatch,500
1248000,312000,0,1560000,3120,2026-09-05,2026-09-05,heavy industrial drayage / custody,TRK-2025-020,,ARU-C-020,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Customer work order schedule; no inferred Red Wash work,Taylor/Rawlins terminal regional industrial delivery,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TRUCKING,2027-12-31,2024-01-01,billable_truck_dispatch,500
1184000,296000,0,1480000,2960,2026-09-05,2026-09-05,heavy industrial drayage / custody,TRK-2025-021,,ARU-C-021,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Customer work order schedule; no inferred Red Wash work,Taylor/Rawlins terminal regional industrial delivery,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TRUCKING,2027-12-31,2024-01-01,billable_truck_dispatch,500
1120000,280000,0,1400000,2800,2026-09-05,2026-09-05,heavy industrial drayage / custody,TRK-2025-022,,ARU-C-022,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Customer work order schedule; no inferred Red Wash work,Taylor/Rawlins terminal regional industrial delivery,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,TRUCKING,2027-12-31,2024-01-01,billable_truck_dispatch,500
1336500,1093500,0,2430000,54000,2026-09-05,2026-09-05,industrial parts/equipment reserved storage,WHS-2025-005,,ARU-C-005,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Take-or-pay reserved storage slots; handling charged within integrated service fee,Taylor/Rawlins warehouse estate,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,WAREHOUSE,2027-12-31,2024-01-01,reserved_pallet_month,45
709500,580500,0,1290000,30000,2026-09-05,2026-09-05,industrial parts/equipment reserved storage,WHS-2025-023,,ARU-C-023,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Take-or-pay reserved storage slots; handling charged within integrated service fee,Taylor/Rawlins warehouse estate,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,WAREHOUSE,2027-12-31,2024-01-01,reserved_pallet_month,43
660000,540000,0,1200000,30000,2026-09-05,2026-09-05,industrial parts/equipment reserved storage,WHS-2025-024,,ARU-C-024,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Take-or-pay reserved storage slots; handling charged within integrated service fee,Taylor/Rawlins warehouse estate,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,WAREHOUSE,2027-12-31,2024-01-01,reserved_pallet_month,40
594000,486000,0,1080000,27000,2026-09-05,2026-09-05,industrial parts/equipment reserved storage,WHS-2025-025,,ARU-C-025,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Take-or-pay reserved storage slots; handling charged within integrated service fee,Taylor/Rawlins warehouse estate,SYNTHETIC_HISTORICAL_CASE,,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,WAREHOUSE,2027-12-31,2024-01-01,reserved_pallet_month,40
